[시트: Party]  (14행 x 20열)
============================================================
('구분', '#이름', 'Element', 'Role', 'SP', 'StatParam', 'StatValue', 'StatParam', 'StatValue', 'StatParam', 'StatValue', 'StatParam', 'StatValue', 'StatParam', 'StatValue', 'StatParam', 'StatValue', 'Normal', 'Active', 'Ultimate')
('파티1', '힐드', 'Light', 'Attacker', 6, '속도', 80, 'Hp', 3570, 'Atk', 359, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 200% 대미지 및 자신 2턴 동안 공격력 30% 증가', '적 1명 공격력의 300% 대미지 및 적 처치시 즉시 턴 획득')
('파티1', '아라한', 'Water', 'Supporter', 5, '속도', 120, 'Hp', 3213, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 150% 대미지 및 공격형 아군 전체 2턴 동안 치명타 확률 증가', '아군 전체 2턴 동안 치명타 대미지 증가')
('파티1', '다나', 'Light', 'Healer', 4, '속도', 90, 'Hp', 2856, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '체력 낮은 아군 2명 공격력의 100% 즉시 회복', '사망한 아군 1명 최대 체력의 10% 상태로 부활')
('파티1', '프레이', 'Dark', 'Defender', 4, '속도', 110, 'Hp', 4284, 'Atk', 287, 'Def', 234, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 100% 대미지 및 자신 2턴 동안 방어력 30% 증가', '적 전체 2턴 동안 도발')
('파티1', '시트리', 'Light', 'Supporter', 5, '속도', 120, 'Hp', 3213, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 150% 대미지 및 공격형 아군 전체 2턴 동안 속도 50 증가', '아군 전체 2턴 동안 속도 15 증가')
('파티2', '구미호', 'Fire', 'Magician', 6, '속도', 100, 'Hp', 3213, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 2명 공격력의 80% 대미지 및 2턴 동안 화상(대상 턴 종료시 공격력의 50% 대미지)부여', '적 전체 2턴 동안 화상(대상 턴 종료시 공격력의 100% 대미지) 부여')
('파티2', '카라라트리', 'Fire', 'Magician', 6, '속도', 100, 'Hp', 3213, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 2명 공격력의 80% 대미지 및 2턴 동안 방어력 30% 감소', '적 1명에게 공격력의 100% 대미지 및 대상이 보유한 화상이 3개 이상이라면 2턴 동안 기절 부여')
('파티2', '카인', 'Fire', 'Attacker', 6, '속도', 80, 'Hp', 3570, 'Atk', 359, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 100% 대미지, 대상이 화상 중인 상태라면 150% 추가 대미지', '전 적체 공격력의 100% 대미지, 대상이 화상 중인 상태라면 200% 추가 대미지')
('파티2', '라가라자', 'Fire', 'Defender', 4, '속도', 110, 'Hp', 4284, 'Atk', 287, 'Def', 234, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 100% 대미지 및 자신 2턴 동안 방어력 30% 증가', '자신에게 2턴 동안 화상반격(피격시 공격 대상에게 공격력의 50% 화상 부여) 버프 부여')
('파티2', '시트리', 'Light', 'Supporter', 5, '속도', 120, 'Hp', 3213, 'Atk', 287, 'Def', 187, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '적 1명 공격력의 150% 대미지 및 공격형 아군 전체 2턴 동안 속도 50 증가', '아군 전체 2턴 동안 속도 15 증가')
('몬스터', '몬스터1', 'Forest', 'Attacker', 6, '속도', 100, 'Hp', 3000, 'Atk', 300, 'Def', 200, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '무작위 적 3명 공격력의 150% 대미지 및 2턴 동안 방어력 30% 감소', '없음')
('몬스터', '몬스터2', 'Fire', 'Attacker', 6, '속도', 100, 'Hp', 3000, 'Atk', 300, 'Def', 200, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '무작위 적 3명 공격력의 150% 대미지 및 2턴 동안 공격력 30% 감소', '없음')
('몬스터', '몬스터3', 'Water', 'Supporter', 5, '속도', 100, 'Hp', 3000, 'Atk', 300, 'Def', 200, 'CriRatio', 0.05, 'CriDmgRatio', 1.5, '적 1명 공격력의 100% 대미지', '무작위 적 3명 공격력의 150% 대미지 및 2턴 동안 몬스터 전체 공격력 30% 증가', '없음')
