================================================================================
  얼티밋 쿨타임 룰 적용 메타 시뮬레이션
  룰: 얼티밋 쿨타임 = 전 직업 공통 4턴 (자기 턴 기준 감소)
================================================================================

  역할             SP비용    쿨타임
  ----------------------------
  attacker          6     4턴
  defender          3     4턴
  magician          4     4턴
  supporter         4     4턴
  healer            3     4턴

================================================================================
  메타별 캐릭터 얼티밋 쿨타임 (SP비용 + 2)
================================================================================

  M01 화상연계  (평균SPD: 98, 평균쿨타임: 4.0턴)
    다비           [magician  ] SP=4, 쿨타임=4턴
    카라라트리        [attacker  ] SP=6, 쿨타임=4턴
    세멜레          [magician  ] SP=4, 쿨타임=4턴
    지바           [healer    ] SP=3, 쿨타임=4턴
    살마키스         [supporter ] SP=4, 쿨타임=4턴

  M02 독정원    (평균SPD: 104, 평균쿨타임: 4.0턴)
    바리           [magician  ] SP=4, 쿨타임=4턴
    도계화          [magician  ] SP=4, 쿨타임=4턴
    상아           [supporter ] SP=4, 쿨타임=4턴
    티스베          [healer    ] SP=3, 쿨타임=4턴
    엘리시온         [defender  ] SP=3, 쿨타임=4턴

  M03 출혈폭딜  (평균SPD: 102, 평균쿨타임: 4.0턴)
    바토리          [supporter ] SP=4, 쿨타임=4턴
    미르칼라         [healer    ] SP=3, 쿨타임=4턴
    모건           [magician  ] SP=4, 쿨타임=4턴
    아우로라         [supporter ] SP=4, 쿨타임=4턴
    다누           [attacker  ] SP=6, 쿨타임=4턴

  M04 CC잠금    (평균SPD: 104, 평균쿨타임: 4.0턴)
    판            [magician  ] SP=4, 쿨타임=4턴
    오네이로이        [supporter ] SP=4, 쿨타임=4턴
    구미호          [magician  ] SP=4, 쿨타임=4턴
    브라우니         [healer    ] SP=3, 쿨타임=4턴
    메티스          [defender  ] SP=3, 쿨타임=4턴

  M05 속도처형  (평균SPD: 100, 평균쿨타임: 4.0턴)
    이브           [attacker  ] SP=6, 쿨타임=4턴
    상아           [supporter ] SP=4, 쿨타임=4턴
    티스베          [healer    ] SP=3, 쿨타임=4턴
    살마키스         [supporter ] SP=4, 쿨타임=4턴
    브라우니         [healer    ] SP=3, 쿨타임=4턴

  M06 크리폭딜  (평균SPD: 108, 평균쿨타임: 4.0턴)
    아슈토레스        [attacker  ] SP=6, 쿨타임=4턴
    아르테미스        [magician  ] SP=4, 쿨타임=4턴
    아우로라         [supporter ] SP=4, 쿨타임=4턴
    그릴라          [supporter ] SP=4, 쿨타임=4턴
    시트리          [supporter ] SP=4, 쿨타임=4턴

  M07 방어무력  (평균SPD: 94, 평균쿨타임: 4.0턴)
    쿠바바          [attacker  ] SP=6, 쿨타임=4턴
    티와즈          [healer    ] SP=3, 쿨타임=4턴
    아르테미스        [magician  ] SP=4, 쿨타임=4턴
    카라라트리        [attacker  ] SP=6, 쿨타임=4턴
